Job,Burn,Inf,AreaTP,AreaFN,AreaFP,CSI,F_3,Bias,Hit_Rate
Ge150Gu075_inf_2.5_,150Gu075,2.5,8871092.424,310714.2673,3872130.966,0.679572146,0.655769805,0.387877552,0.96615979
Ge150Gu075_inf_3.5_,150Gu075,3.5,8793034.926,388771.7659,3637657.118,0.685912848,0.655586168,0.353839442,0.957658468
Ge150Gu075_inf_3_,150Gu075,3,8837577.865,344228.8269,3745390.193,0.683642242,0.657013977,0.370423979,0.962509685
Ge150Gu075_inf_4.5_,150Gu075,4.5,8717390.829,464415.8627,3390963.976,0.693354795,0.656416568,0.318733362,0.949419991
Ge150Gu075_inf_4_,150Gu075,4,8760006.126,421800.5655,3520582.863,0.689634504,0.656428109,0.337491564,0.954061267
Ge150Gu075_inf_5.5_,150Gu075,5.5,8592218.184,589588.5076,3115989.396,0.698679513,0.650736898,0.275152916,0.93578731
Ge150Gu075_inf_5_,150Gu075,5,8668871.485,512935.2064,3257662.466,0.696884359,0.655649865,0.298931066,0.9441357
Ge150Gu075_inf_6.5_,150Gu075,6.5,8385973.512,795833.18,2719528.334,0.704624607,0.637755371,0.209511616,0.913324991
Ge150Gu075_inf_6_,150Gu075,6,8515891.166,665915.5254,2951662.207,0.70185132,0.646968786,0.248943019,0.927474456
Ge150Gu075_inf_7.5_,150Gu075,7.5,8079920.945,1101885.747,2268310.571,0.705662725,0.609429147,0.127036526,0.879992491
Ge150Gu075_inf_7_,150Gu075,7,8297757.855,884048.8367,2577431.656,0.705637356,0.630458266,0.184428063,0.903717333
Ge150Gu075_inf_8_,150Gu075,8,7399482.806,1782323.886,1860202.593,0.670121045,0.508708042,0.00848185,0.805885274
Ge150Gu125_inf_2.5_,150Gu125,2.5,8876918.157,304888.5343,3898812.358,0.678631349,0.655322932,0.391417936,0.966794276
Ge150Gu125_inf_3.5_,150Gu125,3.5,8800285.808,381520.884,3661040.998,0.685228543,0.655521667,0.357175905,0.958448169
Ge150Gu125_inf_3_,150Gu125,3,8844078.316,337728.3756,3772163.798,0.682731084,0.656659666,0.37404789,0.963217656
Ge150Gu125_inf_4.5_,150Gu125,4.5,8727225.199,454581.4926,3429324.05,0.692025591,0.655979537,0.323982268,0.950491063
Ge150Gu125_inf_4_,150Gu125,4,8766429.044,415377.6474,3555131.923,0.68826814,0.655656092,0.341953864,0.954760794
Ge150Gu125_inf_5.5_,150Gu125,5.5,8602434.89,579371.8019,3145762.682,0.697820846,0.65082279,0.279508267,0.936900022
Ge150Gu125_inf_5_,150Gu125,5,8677603.973,504202.7184,3286626.662,0.695965863,0.655527525,0.30303665,0.945086764
Ge150Gu125_inf_6.5_,150Gu125,6.5,8407361.632,774445.0594,2802599.797,0.701525073,0.636904012,0.220888416,0.915654393
Ge150Gu125_inf_6_,150Gu125,6,8530813.492,650993.1998,2985377.762,0.701132914,0.647628901,0.254240221,0.929099662
Ge150Gu125_inf_7.5_,150Gu125,7.5,8105206.907,1076599.785,2311404.535,0.70521691,0.61154424,0.134483854,0.882746411
Ge150Gu125_inf_7_,150Gu125,7,8334368.606,847438.0853,2647600.647,0.70454659,0.632908337,0.196057554,0.907704647
Ge150Gu125_inf_8_,150Gu125,8,7389564.982,1792241.709,1842728.022,0.670283615,0.507715148,0.005498516,0.804805114
Ge1Gu075_inf_2.5_,1Gu075,2.5,8866757.656,315049.0359,3863147.709,0.679707831,0.655556804,0.386427072,0.965687686
Ge1Gu075_inf_3.5_,1Gu075,3.5,8785075.215,396731.4765,3618258.823,0.686330488,0.655336,0.350859853,0.956791567
Ge1Gu075_inf_3_,1Gu075,3,8832315.749,349490.9426,3730220.778,0.684037869,0.656970784,0.36819876,0.961936582
Ge1Gu075_inf_4.5_,1Gu075,4.5,8701420.38,480386.312,3360897.999,0.693743542,0.655443485,0.313719487,0.947680633
Ge1Gu075_inf_4_,1Gu075,4,8748904.68,432902.0115,3504015.802,0.689660027,0.655535159,0.334478158,0.952852197
Ge1Gu075_inf_5.5_,1Gu075,5.5,8576940.564,604866.1277,3098919.756,0.698406613,0.649153327,0.271629943,0.934123409
Ge1Gu075_inf_5_,1Gu075,5,8649316.214,532490.4775,3233676.074,0.69665565,0.653766421,0.294188898,0.942005915
Ge1Gu075_inf_6.5_,1Gu075,6.5,8361530.368,820276.3231,2680066.9,0.704908066,0.635755725,0.202551702,0.910662863
Ge1Gu075_inf_6_,1Gu075,6,8488385.445,693421.247,2919567.712,0.701439784,0.644138751,0.242451899,0.92447878
Ge1Gu075_inf_7.5_,1Gu075,7.5,7952686.732,1229119.959,2143301.98,0.702217256,0.593686733,0.099564503,0.866135282
Ge1Gu075_inf_7_,1Gu075,7,8230110.552,951696.1399,2522276.745,0.703182833,0.621869662,0.171053547,0.896349796
Ge1Gu075_inf_8_,1Gu075,8,7431850.693,1749955.998,1850607.549,0.673637749,0.515018252,0.010962064,0.809410494
Ge250Gu075_inf_2.5_,250Gu075,2.5,8877167.328,304639.364,3888799.681,0.679170275,0.655863065,0.390354582,0.966821414
Ge250Gu075_inf_3.5_,250Gu075,3.5,8807246.627,374560.0651,3663972.585,0.68561404,0.656455819,0.358253297,0.959206278
Ge250Gu075_inf_3_,250Gu075,3,8850369.675,331437.0165,3771518.602,0.683250785,0.657663763,0.37466282,0.963902854
Ge250Gu075_inf_4.5_,250Gu075,4.5,8737781.63,444025.062,3432568.37,0.692684464,0.657484539,0.325485322,0.951640774
Ge250Gu075_inf_4_,250Gu075,4,8776866.096,404940.5961,3557466.982,0.688961264,0.657174476,0.343344888,0.955897504
Ge250Gu075_inf_5.5_,250Gu075,5.5,8617402.953,564403.7382,3151555.905,0.69870669,0.652944333,0.2817694,0.938530209
Ge250Gu075_inf_5_,250Gu075,5,8694453.081,487353.6101,3303713.794,0.696362886,0.657329383,0.306732681,0.946921818
Ge250Gu075_inf_6.5_,250Gu075,6.5,8449832.799,731973.8921,2817028.997,0.704221061,0.643217318,0.227085494,0.920279971
Ge250Gu075_inf_6_,250Gu075,6,8561156.666,620650.0258,3022802.695,0.701469125,0.650615385,0.261620915,0.932404368
Ge250Gu075_inf_7.5_,250Gu075,7.5,8219394.935,962411.7561,2380890.982,0.710854436,0.627620248,0.15448803,0.895182747
Ge250Gu075_inf_7_,250Gu075,7,8377424.136,804382.5552,2652564.844,0.707889229,0.639919201,0.201287432,0.91239387
Ge250Gu075_inf_8_,250Gu075,8,7920938.636,1260868.055,2058984.307,0.704660254,0.592491274,0.086923661,0.862677565
Ge250Gu125_inf_2.5_,250Gu125,2.5,8883601.555,298205.1369,3913900.85,0.6783598,0.655588588,0.393789135,0.967522172
Ge250Gu125_inf_3.5_,250Gu125,3.5,8827001.024,354805.6678,3691413.755,0.685687087,0.658125555,0.363393415,0.96135775
Ge250Gu125_inf_3_,250Gu125,3,8856209.611,325597.0801,3797498.262,0.682333117,0.657247253,0.378128325,0.964538887
Ge250Gu125_inf_4.5_,250Gu125,4.5,8746239.618,435567.0732,3465348.638,0.691557856,0.657117931,0.329976623,0.952561943
Ge250Gu125_inf_4_,250Gu125,4,8783520.834,398285.8573,3587756.688,0.687848173,0.656657924,0.347368545,0.956622278
Ge250Gu125_inf_5.5_,250Gu125,5.5,8625791.15,556015.5418,3178167.141,0.69788102,0.652895849,0.285581225,0.939443776
Ge250Gu125_inf_5_,250Gu125,5,8703210.067,478596.6242,3333088.201,0.695428139,0.657185978,0.31088561,0.94787555
Ge250Gu125_inf_6.5_,250Gu125,6.5,8470178.785,711627.9068,2858283.331,0.703497961,0.644393095,0.233794448,0.922495874
Ge250Gu125_inf_6_,250Gu125,6,8572542.132,609264.5592,3051613.14,0.700747808,0.650944518,0.265998693,0.933644371
